SurveyDate,Zone,Bird,Count
,III Boulders,Western Gull,1
,III Rocky Outcrop,Brown Pelican,7
,III Rocky Outcrop,Brown Pelican,70
,III Rocky Outcrop,Cormorant,1
,III Rocky Outcrop,Tern,2
,III Rocky Outcrop,Unidentified Gull,40
,III Rocky Outcrop,Unidentified Gull,112
12/3/1991,I,Black-Bellied Plover,3
12/3/1991,I,Snowy Egret,4
12/3/1991,I,Western Gull,3
12/3/1991,II,Black-Bellied Plover,3
12/3/1991,II,Western Gull,8
12/3/1991,III,Black-Bellied Plover,5
12/3/1991,III,Great Blue Heron,1
12/3/1991,III,Snowy Egret,1
12/3/1991,III,Unidentified Gull,345
12/6/1991,I,Black Turnstone,2
12/6/1991,I,Great Blue Heron,1
12/6/1991,I,Marbled Godwit,3
12/6/1991,I,Snowy Egret,3
12/6/1991,I,Unidentified Gull,27
12/6/1991,I,Wandering Tattler,2
12/6/1991,I,Willet,1
12/6/1991,II,Black Turnstone,8
12/6/1991,II,Marbled Godwit,2
12/6/1991,II,Snowy Egret,2
12/6/1991,II,Unidentified Gull,23
12/6/1991,II,Wandering Tattler,3
12/6/1991,II,Willet,2
10/24/1992,I,Black-Bellied Plover,2
10/24/1992,I,Western Gull,6
10/24/1992,II,Black-Bellied Plover,1
10/24/1992,II,Great Egret,1
10/24/1992,II,Western Gull,5
10/24/1992,III,Black Turnstone,1
10/24/1992,III,California Gull,16
10/24/1992,III,Marbled Godwit,7
10/24/1992,III,Ruddy Turnstone,1
10/24/1992,III,Snowy Egret,4
10/24/1992,III,Willet,1
10/27/1992,I,Black Turnstone,1
10/27/1992,I,Western Gull,6
10/27/1992,II,Black Turnstone,4
10/27/1992,II,Great Blue Heron,1
10/27/1992,II,Marbled Godwit,3
10/27/1992,II,Snowy Egret,3
10/27/1992,II,Wandering Tattler,2
10/27/1992,II,Western Gull,13
10/27/1992,II,Willet,1
10/27/1992,III,Black Turnstone,1
10/27/1992,III,Cormorant,5
10/27/1992,III,Great Blue Heron,1
10/27/1992,III,Great Egret,2
10/27/1992,III,Snowy Egret,5
10/27/1992,III,Wandering Tattler,1
10/27/1992,III,Western Gull,15
11/24/1992,I,California Gull,2
11/24/1992,I,Ring-Billed Gull,1
11/24/1992,I,Snowy Egret,5
11/24/1992,I,Unidentified Gull,3
11/24/1992,I,Wandering Tattler,1
11/24/1992,II,Black Turnstone,1
11/24/1992,II,Black-Bellied Plover,2
11/24/1992,II,California Gull,1
11/24/1992,II,Great Blue Heron,1
11/24/1992,II,Marbled Godwit,2
11/24/1992,II,Ruddy Turnstone,17
11/24/1992,II,Snowy Egret,3
11/24/1992,II,Spotted Sandpiper,3
11/24/1992,II,Western Gull,1
11/24/1992,II,Whimbrel,1
11/24/1992,II,Willet,1
11/24/1992,III,Black-Bellied Plover,1
11/24/1992,III,Great Blue Heron,1
11/24/1992,III,Great Egret,2
11/24/1992,III,Marbled Godwit,4
11/24/1992,III,Ring-Billed Gull,2
11/24/1992,III,Ruddy Turnstone,3
11/24/1992,III,Snowy Egret,5
11/24/1992,III,Spotted Sandpiper,2
11/24/1992,III,Western Gull,1
11/24/1992,III,Willet,3
11/25/1992,I,Snowy Egret,3
11/25/1992,I,Western Gull,11
11/25/1992,I,Willet,1
11/25/1992,II,Wandering Tattler,1
11/25/1992,II,Western Gull,3
11/25/1992,III,Snowy Egret,2
11/25/1992,III,Western Gull,211
11/26/1992,I,Heerman's Gull,4
11/26/1992,I,Snowy Egret,1
11/26/1992,II,California Gull,2
11/26/1992,II,Snowy Egret,1
11/26/1992,III,California Gull,12
11/26/1992,III,Heerman's Gull,7
11/26/1992,III,Pelican,8
11/26/1992,III,Snowy Egret,7
11/26/1992,III,Wandering Tattler,1
11/26/1992,III,Whimbrel,4
12/8/1992,I,Black-Bellied Plover,1
12/8/1992,I,Snowy Egret,1
12/8/1992,I,Western Gull,2
12/8/1992,II,Marbled Godwit,3
12/8/1992,II,Snowy Egret,2
12/8/1992,II,Wandering Tattler,1
12/8/1992,II,Western Gull,3
12/8/1992,II,Whimbrel,1
12/8/1992,III,Black-Bellied Plover,2
12/8/1992,III,Great Blue Heron,1
12/8/1992,III,Great Egret,1
12/8/1992,III,Snowy Egret,4
12/8/1992,III,Western Gull,111
12/9/1992,I,Cormorant,1
12/9/1992,I,Snowy Egret,2
12/9/1992,I,Western Gull,9
12/9/1992,II,Black Turnstone,2
12/9/1992,II,Snowy Egret,3
12/9/1992,II,Wandering Tattler,1
12/9/1992,II,Western Gull,2
12/9/1992,III,Black-Bellied Plover,1
12/9/1992,III,Cormorant,1
12/9/1992,III,Great Egret,1
12/9/1992,III,Pelican,7
12/9/1992,III,Sanderling,2
12/9/1992,III,Snowy Egret,2
12/9/1992,III,Western Gull,90
12/19/1992,I,Pelican,1
12/19/1992,I,Snowy Egret,1
12/19/1992,I,Western Gull,11
12/19/1992,II,Cormorant,2
12/19/1992,II,Marbled Godwit,6
12/19/1992,II,Pelican,2
12/19/1992,II,Sanderling,2
12/19/1992,II,Snowy Egret,2
12/19/1992,II,Western Gull,5
12/19/1992,II,Whimbrel,1
12/19/1992,II,Willet,2
12/19/1992,III,Black Turnstone,2
12/19/1992,III,Great Blue Heron,1
12/19/1992,III,Marbled Godwit,2
12/19/1992,III,Sanderling,4
12/19/1992,III,Snowy Egret,3
12/19/1992,III,Western Gull,11
12/19/1992,III,Willet,1
12/20/1992,I,Western Gull,1
12/20/1992,II,Black-Bellied Plover,1
12/20/1992,II,Western Gull,2
12/20/1992,III,Black-Bellied Plover,11
12/20/1992,III,Snowy Egret,7
12/20/1992,III,Western Gull,106
12/21/1992,I,California Gull,2
12/21/1992,I,Snowy Egret,1
12/21/1992,I,Wandering Tattler,1
12/21/1992,II,California Gull,2
12/21/1992,II,Snowy Egret,2
12/21/1992,II,Wandering Tattler,2
12/21/1992,III,Heerman's Gull,21
12/21/1992,III,Sanderling,2
12/21/1992,III,Snowy Egret,2
12/21/1992,III,Whimbrel,2
12/21/1992,III,Willet,5
