"","SurveyDate","Zone","Bird","Count"
"1",2011-01-01,"I","Black Phoebe",1
"2",2011-01-01,"I","Snowy Egret",1
"3",2011-01-01,"I","Spotted Sandpiper",1
"4",2011-01-01,"I","Western Gull",2
"5",2011-01-01,"II","Say's Phoebe",1
"6",2011-01-01,"II","Western Gull",2
"7",2011-01-01,"II","Yellow Rumped Warbler",1
"8",2011-01-01,"III","Great Blue Heron",4
"9",2011-01-01,"III","Snowy Egret",2
"10",2011-01-01,"III","Song sparrow",1
"11",2011-01-01,"III","Spotted Sandpiper",2
"12",2011-01-01,"III","Wandering Tattler",1
"13",2011-01-01,"III","Western Gull",3
"14",2011-01-01,"III Rocky Outcrop","Brown Pelican",5
"15",2011-01-01,"III Rocky Outcrop","Cormorant",3
"16",2011-01-01,"III Rocky Outcrop","Tern",20
"17",2011-01-01,"III Rocky Outcrop","Unidentified Gull",30
"18",2011-01-02,"I","Black Phoebe",1
"19",2011-01-02,"I","Snowy Egret",1
"20",2011-01-02,"I","Spotted Sandpiper",2
"21",2011-01-02,"I","Yellow Rumped Warbler",1
"22",2011-01-02,"II","Say's Phoebe",1
"23",2011-01-02,"II","Wandering Tattler",1
"24",2011-01-02,"II","Western Gull",2
"25",2011-01-02,"III","Black Phoebe",1
"26",2011-01-02,"III","California Gull",2
"27",2011-01-02,"III","Great Blue Heron",3
"28",2011-01-02,"III","Great Egret",1
"29",2011-01-02,"III","Snowy Egret",4
"30",2011-01-02,"III","Spotted Sandpiper",2
"31",2011-01-02,"III","Unidentified Gull",2
"32",2011-01-02,"III","Western Gull",4
"33",2011-01-02,"III Rocky Outcrop","Brown Pelican",9
"34",2011-01-02,"III Rocky Outcrop","Cormorant",3
"35",2011-01-02,"III Rocky Outcrop","Snowy Egret",2
"36",2011-01-02,"III Rocky Outcrop","Tern",1
"37",2011-01-02,"III Rocky Outcrop","Unidentified Gull",20
"38",2011-01-03,"I","Black Turnstone",2
"39",2011-01-03,"I","Great Egret",1
"40",2011-01-03,"I","Western Gull",2
"41",2011-01-03,"II","Great Blue Heron",1
"42",2011-01-03,"II","Say's Phoebe",1
"43",2011-01-03,"II","Western Gull",2
"44",2011-01-03,"III","Black Phoebe",1
"45",2011-01-03,"III","Great Blue Heron",5
"46",2011-01-03,"III","Great Egret",2
"47",2011-01-03,"III","Juvenile Gull",4
"48",2011-01-03,"III","Snowy Egret",3
"49",2011-01-03,"III","Song sparrow",1
"50",2011-01-03,"III","Spotted Sandpiper",4
"51",2011-01-03,"III","Western Gull",4
"52",2011-01-03,"III Rocky Outcrop","Brown Pelican",7
"53",2011-01-03,"III Rocky Outcrop","Cormorant",6
"54",2011-01-03,"III Rocky Outcrop","Snowy Egret",5
"55",2011-01-03,"III Rocky Outcrop","Tern",22
"56",2011-01-03,"III Rocky Outcrop","Unidentified Gull",38
"57",2011-01-04,"I","Snowy Egret",1
"58",2011-01-04,"I","Spotted Sandpiper",2
"59",2011-01-04,"I","Wandering Tattler",1
"60",2011-01-04,"I","Western Gull",2
"61",2011-01-04,"I","Yellow Rumped Warbler",1
"62",2011-01-04,"II","Great Blue Heron",1
"63",2011-01-04,"II","Say's Phoebe",2
"64",2011-01-04,"II","Western Gull",2
"65",2011-01-04,"II","Yellow Rumped Warbler",1
"66",2011-01-04,"III","Black Phoebe",1
"67",2011-01-04,"III","Great Blue Heron",2
"68",2011-01-04,"III","Say's Phoebe",1
"69",2011-01-04,"III","Snowy Egret",2
"70",2011-01-04,"III","Spotted Sandpiper",4
"71",2011-01-04,"III","Western Gull",2
"72",2011-01-04,"III Rocky Outcrop","Brown Pelican",23
"73",2011-01-04,"III Rocky Outcrop","Cormorant",2
"74",2011-01-04,"III Rocky Outcrop","Great Egret",1
"75",2011-01-04,"III Rocky Outcrop","Tern",28
"76",2011-01-04,"III Rocky Outcrop","Unidentified Gull",80
"77",2011-01-15,"I","Snowy Egret",1
"78",2011-01-15,"I","Spotted Sandpiper",2
"79",2011-01-15,"I","Western Gull",2
"80",2011-01-15,"II","Western Gull",1
"81",2011-01-15,"III","Black Phoebe",1
"82",2011-01-15,"III","Great Blue Heron",1
"83",2011-01-15,"III","Great Egret",1
"84",2011-01-15,"III","Juvenile Gull",1
"85",2011-01-15,"III","Snowy Egret",4
"86",2011-01-15,"III","Spotted Sandpiper",2
"87",2011-01-15,"III Rocky Outcrop","Cormorant",6
"88",2011-01-15,"III Rocky Outcrop","Great Blue Heron",1
"89",2011-01-15,"III Rocky Outcrop","Great Egret",1
"90",2011-01-15,"III Rocky Outcrop","Snowy Egret",1
"91",2011-01-15,"III Rocky Outcrop","Tern",5
"92",2011-01-15,"III Rocky Outcrop","Unidentified Gull",83
"93",2011-01-17,"I","Spotted Sandpiper",2
"94",2011-01-17,"I","Wandering Tattler",1
"95",2011-01-17,"I","Western Gull",2
"96",2011-01-17,"II","California Gull",1
"97",2011-01-17,"II","Snowy Egret",2
"98",2011-01-17,"II","Western Gull",1
"99",2011-01-17,"III","Great Blue Heron",1
"100",2011-01-17,"III","Great Egret",1
"101",2011-01-17,"III","Snowy Egret",4
"102",2011-01-17,"III","Western Gull",2
"103",2011-01-17,"III Rocky Outcrop","Brown Pelican",11
"104",2011-01-17,"III Rocky Outcrop","Cormorant",4
"105",2011-01-17,"III Rocky Outcrop","Tern",12
"106",2011-01-17,"III Rocky Outcrop","Unidentified Gull",60
"107",2011-01-18,"I","Black Turnstone",1
"108",2011-01-18,"I","Spotted Sandpiper",1
"109",2011-01-18,"I","Western Gull",2
"110",2011-01-18,"III","Great Blue Heron",1
"111",2011-01-18,"III","Great Egret",1
"112",2011-01-18,"III","Juvenile Gull",1
"113",2011-01-18,"III","Snowy Egret",1
"114",2011-01-18,"III","Spotted Sandpiper",2
"115",2011-01-18,"III","Unidentified Gull",1
"116",2011-01-18,"III","Western Gull",7
"117",2011-01-18,"III Rocky Outcrop","Brown Pelican",5
"118",2011-01-18,"III Rocky Outcrop","Cormorant",5
"119",2011-01-18,"III Rocky Outcrop","Snowy Egret",1
"120",2011-01-18,"III Rocky Outcrop","Tern",14
"121",2011-01-18,"III Rocky Outcrop","Unidentified Gull",70
"122",2011-01-19,"I","Black Turnstone",1
"123",2011-01-19,"I","Say's Phoebe",1
"124",2011-01-19,"I","Western Gull",2
"125",2011-01-19,"II","Great Blue Heron",1
"126",2011-01-19,"II","Great Egret",1
"127",2011-01-19,"II","Snowy Egret",3
"128",2011-01-19,"III","Black Phoebe",1
"129",2011-01-19,"III","Juvenile Gull",1
"130",2011-01-19,"III","Snowy Egret",1
"131",2011-01-19,"III","Spotted Sandpiper",2
"132",2011-01-19,"III","Wandering Tattler",1
"133",2011-01-19,"III","Western Gull",4
"134",2011-01-19,"III Rocky Outcrop","Brown Pelican",20
"135",2011-01-19,"III Rocky Outcrop","Cormorant",2
"136",2011-01-19,"III Rocky Outcrop","Snowy Egret",1
"137",2011-01-19,"III Rocky Outcrop","Tern",36
"138",2011-01-19,"III Rocky Outcrop","Unidentified Gull",42
"139",2011-01-20,"II","Great Egret",1
"140",2011-01-20,"III","Cormorant",1
"141",2011-01-20,"III","Great Blue Heron",1
"142",2011-01-20,"III","Snowy Egret",3
"143",2011-01-20,"III","Western Gull",2
"144",2011-01-20,"III Rocky Outcrop","Brown Pelican",1
"145",2011-01-20,"III Rocky Outcrop","Cormorant",3
"146",2011-01-20,"III Rocky Outcrop","Unidentified Gull",40
"147",2011-01-29,"I","Black Turnstone",1
"148",2011-01-29,"I","Black-Bellied Plover",1
"149",2011-01-29,"I","Great Egret",1
"150",2011-01-29,"I","Snowy Egret",2
"151",2011-01-29,"I","Western Gull",2
"152",2011-01-29,"II","Wandering Tattler",1
"153",2011-01-29,"II","Western Gull",1
"154",2011-01-29,"III","Great Egret",1
"155",2011-01-29,"III","Snowy Egret",5
"156",2011-01-29,"III Rocky Outcrop","Brown Pelican",6
"157",2011-01-29,"III Rocky Outcrop","Cormorant",2
"158",2011-01-29,"III Rocky Outcrop","Snowy Egret",4
"159",2011-01-29,"III Rocky Outcrop","Tern",8
"160",2011-01-29,"III Rocky Outcrop","Unidentified Gull",85
"161",2011-01-30,"I","Black Turnstone",3
