,SurveyDate,Zone,DataType,DataCount
1,1/1/2011,I,Black Phoebe,1
2,1/1/2011,I,Dogs On Leash,4
3,1/1/2011,I,People,96
4,1/1/2011,I,Snowy Egret,1
5,1/1/2011,I,Spotted Sandpiper,1
6,1/1/2011,I,Western Gull,2
7,1/1/2011,II,People,22
8,1/1/2011,II,Say's Phoebe,1
9,1/1/2011,II,Western Gull,2
10,1/1/2011,II,Yellow Rumped Warbler,1
11,1/1/2011,III,Great Blue Heron,4
12,1/1/2011,III,People,0
13,1/1/2011,III,Snowy Egret,2
14,1/1/2011,III,Song sparrow,1
15,1/1/2011,III,Spotted Sandpiper,2
16,1/1/2011,III,Wandering Tattler,1
17,1/1/2011,III,Western Gull,3
18,1/1/2011,III Rocky Outcrop,Brown Pelican,5
19,1/1/2011,III Rocky Outcrop,Cormorant,3
20,1/1/2011,III Rocky Outcrop,Tern,20
21,1/1/2011,III Rocky Outcrop,Unidentified Gull,30
22,1/2/2011,I,Black Phoebe,1
23,1/2/2011,I,People,96
24,1/2/2011,I,Snowy Egret,1
25,1/2/2011,I,Spotted Sandpiper,2
26,1/2/2011,I,Yellow Rumped Warbler,1
27,1/2/2011,II,Great Blue Heron,0
28,1/2/2011,II,Great Egret,0
29,1/2/2011,II,People,26
30,1/2/2011,II,Say's Phoebe,1
31,1/2/2011,II,Wandering Tattler,1
32,1/2/2011,II,Western Gull,2
33,1/2/2011,III,Black Phoebe,1
34,1/2/2011,III,California Gull,2
35,1/2/2011,III,Great Blue Heron,3
36,1/2/2011,III,Great Egret,1
37,1/2/2011,III,People,0
38,1/2/2011,III,Snowy Egret,4
39,1/2/2011,III,Spotted Sandpiper,2
40,1/2/2011,III,Unidentified Gull,2
41,1/2/2011,III,Western Gull,4
42,1/2/2011,III Boulders,Egret,0
43,1/2/2011,III Rocky Outcrop,Brown Pelican,9
44,1/2/2011,III Rocky Outcrop,Cormorant,3
45,1/2/2011,III Rocky Outcrop,Snowy Egret,2
46,1/2/2011,III Rocky Outcrop,Tern,1
47,1/2/2011,III Rocky Outcrop,Unidentified Gull,20
48,1/3/2011,I,Black Turnstone,2
49,1/3/2011,I,Great Egret,1
50,1/3/2011,I,People,39
51,1/3/2011,I,Western Gull,2
52,1/3/2011,II,Great Blue Heron,1
53,1/3/2011,II,People,4
54,1/3/2011,II,Say's Phoebe,1
55,1/3/2011,II,Western Gull,2
56,1/3/2011,III,Black Phoebe,1
57,1/3/2011,III,Great Blue Heron,5
58,1/3/2011,III,Great Egret,2
59,1/3/2011,III,Juvenile Gull,4
60,1/3/2011,III,Snowy Egret,3
61,1/3/2011,III,Song sparrow,1
62,1/3/2011,III,Spotted Sandpiper,4
63,1/3/2011,III,Western Gull,4
64,1/3/2011,III Rocky Outcrop,Brown Pelican,7
65,1/3/2011,III Rocky Outcrop,Cormorant,6
66,1/3/2011,III Rocky Outcrop,Snowy Egret,5
67,1/3/2011,III Rocky Outcrop,Tern,22
68,1/3/2011,III Rocky Outcrop,Unidentified Gull,38
69,1/4/2011,I,People,39
70,1/4/2011,I,Snowy Egret,1
71,1/4/2011,I,Spotted Sandpiper,2
72,1/4/2011,I,Wandering Tattler,1
73,1/4/2011,I,Western Gull,2
74,1/4/2011,I,Yellow Rumped Warbler,1
75,1/4/2011,II,Great Blue Heron,1
76,1/4/2011,II,People,4
77,1/4/2011,II,Say's Phoebe,2
78,1/4/2011,II,Western Gull,2
79,1/4/2011,II,Yellow Rumped Warbler,1
80,1/4/2011,III,Black Phoebe,1
81,1/4/2011,III,Great Blue Heron,2
82,1/4/2011,III,People,0
83,1/4/2011,III,Say's Phoebe,1
84,1/4/2011,III,Snowy Egret,2
85,1/4/2011,III,Spotted Sandpiper,4
86,1/4/2011,III,Western Gull,2
87,1/4/2011,III Rocky Outcrop,Brown Pelican,23
88,1/4/2011,III Rocky Outcrop,Cormorant,2
89,1/4/2011,III Rocky Outcrop,Great Egret,1
90,1/4/2011,III Rocky Outcrop,Tern,28
91,1/4/2011,III Rocky Outcrop,Unidentified Gull,80
92,1/15/2011,I,People,90
93,1/15/2011,I,Snowy Egret,1
94,1/15/2011,I,Spotted Sandpiper,2
95,1/15/2011,I,Western Gull,2
96,1/15/2011,II,People,10
97,1/15/2011,II,Western Gull,1
98,1/15/2011,III,Black Phoebe,1
99,1/15/2011,III,Great Blue Heron,1
100,1/15/2011,III,Great Egret,1
101,1/15/2011,III,Juvenile Gull,1
102,1/15/2011,III,People,0
103,1/15/2011,III,Snowy Egret,4
104,1/15/2011,III,Spotted Sandpiper,2
105,1/15/2011,III Rocky Outcrop,Brown Pelican,0
106,1/15/2011,III Rocky Outcrop,Cormorant,6
107,1/15/2011,III Rocky Outcrop,Great Blue Heron,1
108,1/15/2011,III Rocky Outcrop,Great Egret,1
109,1/15/2011,III Rocky Outcrop,Snowy Egret,1
110,1/15/2011,III Rocky Outcrop,Tern,5
111,1/15/2011,III Rocky Outcrop,Unidentified Gull,83
112,1/17/2011,I,People,201
113,1/17/2011,I,Spotted Sandpiper,2
114,1/17/2011,I,Wandering Tattler,1
115,1/17/2011,I,Western Gull,2
116,1/17/2011,II,California Gull,1
117,1/17/2011,II,People,47
118,1/17/2011,II,Snowy Egret,2
119,1/17/2011,II,Western Gull,1
120,1/17/2011,III,Great Blue Heron,1
121,1/17/2011,III,Great Egret,1
122,1/17/2011,III,People,0
123,1/17/2011,III,Snowy Egret,4
124,1/17/2011,III,Western Gull,2
125,1/17/2011,III Rocky Outcrop,Brown Pelican,11
126,1/17/2011,III Rocky Outcrop,Cormorant,4
127,1/17/2011,III Rocky Outcrop,Tern,12
128,1/17/2011,III Rocky Outcrop,Unidentified Gull,60
129,1/18/2011,I,Black Turnstone,1
130,1/18/2011,I,People,92
131,1/18/2011,I,Spotted Sandpiper,1
132,1/18/2011,I,Western Gull,2
133,1/18/2011,II,People,49
134,1/18/2011,III,Great Blue Heron,1
135,1/18/2011,III,Great Egret,1
136,1/18/2011,III,Juvenile Gull,1
137,1/18/2011,III,People,0
138,1/18/2011,III,Snowy Egret,1
139,1/18/2011,III,Spotted Sandpiper,2
140,1/18/2011,III,Unidentified Gull,1
141,1/18/2011,III,Western Gull,7
142,1/18/2011,III Boulders,People,0
143,1/18/2011,III Rocky Outcrop,Brown Pelican,5
144,1/18/2011,III Rocky Outcrop,Cormorant,5
145,1/18/2011,III Rocky Outcrop,Snowy Egret,1
146,1/18/2011,III Rocky Outcrop,Tern,14
147,1/18/2011,III Rocky Outcrop,Unidentified Gull,70
148,1/19/2011,I,Black Turnstone,1
149,1/19/2011,I,People,38
150,1/19/2011,I,Say's Phoebe,1
151,1/19/2011,I,Western Gull,2
152,1/19/2011,II,Great Blue Heron,1
153,1/19/2011,II,Great Egret,1
154,1/19/2011,II,People,34
155,1/19/2011,II,Snowy Egret,3
156,1/19/2011,III,Black Phoebe,1
157,1/19/2011,III,Juvenile Gull,1
158,1/19/2011,III,People,0
159,1/19/2011,III,Snowy Egret,1
160,1/19/2011,III,Spotted Sandpiper,2
161,1/19/2011,III,Wandering Tattler,1
162,1/19/2011,III,Western Gull,4
163,1/19/2011,III Boulders,People,0
164,1/19/2011,III Rocky Outcrop,Brown Pelican,20
165,1/19/2011,III Rocky Outcrop,Cormorant,2
166,1/19/2011,III Rocky Outcrop,Snowy Egret,1
167,1/19/2011,III Rocky Outcrop,Tern,36
168,1/19/2011,III Rocky Outcrop,Unidentified Gull,42
169,1/20/2011,I,People,72
170,1/20/2011,II,Great Egret,1
171,1/20/2011,II,People,34
172,1/20/2011,III,Cormorant,1
173,1/20/2011,III,Great Blue Heron,1
174,1/20/2011,III,People,0
175,1/20/2011,III,Snowy Egret,3
176,1/20/2011,III,Western Gull,2
177,1/20/2011,III Boulders,Belted Kingfisher,0
178,1/20/2011,III Rocky Outcrop,Brown Pelican,1
179,1/20/2011,III Rocky Outcrop,Cormorant,3
180,1/20/2011,III Rocky Outcrop,People,0
181,1/20/2011,III Rocky Outcrop,Unidentified Gull,40
182,1/29/2011,I,Black Turnstone,1
183,1/29/2011,I,Black-Bellied Plover,1
184,1/29/2011,I,Great Egret,1
185,1/29/2011,I,People,89
186,1/29/2011,I,Snowy Egret,2
187,1/29/2011,I,Western Gull,2
188,1/29/2011,II,People,21
189,1/29/2011,II,Wandering Tattler,1
190,1/29/2011,II,Western Gull,1
191,1/29/2011,III,Great Egret,1
192,1/29/2011,III,People,0
193,1/29/2011,III,Snowy Egret,5
194,1/29/2011,III Boulders,Bird,0
195,1/29/2011,III Rocky Outcrop,Brown Pelican,6
196,1/29/2011,III Rocky Outcrop,Cormorant,2
197,1/29/2011,III Rocky Outcrop,Snowy Egret,4
198,1/29/2011,III Rocky Outcrop,Tern,8
199,1/29/2011,III Rocky Outcrop,Unidentified Gull,85
200,1/30/2011,I,Black Turnstone,3
201,1/30/2011,I,People,76
202,1/30/2011,I,Spotted Sandpiper,1
203,1/30/2011,II,Black Turnstone,2
204,1/30/2011,II,California Gull,1
205,1/30/2011,II,Juvenile Gull,1
206,1/30/2011,II,People,25
207,1/30/2011,II,Snowy Egret,4
208,1/30/2011,II,Western Gull,2
209,1/30/2011,III,Brown Pelican,1
210,1/30/2011,III,California Gull,1
211,1/30/2011,III,Great Blue Heron,1
212,1/30/2011,III,Great Egret,1
213,1/30/2011,III,Juvenile Gull,7
214,1/30/2011,III,People,0
215,1/30/2011,III,Snowy Egret,3
216,1/30/2011,III,Spotted Sandpiper,2
217,1/30/2011,III,Tern,5
218,1/30/2011,III,Unidentified Bird (non-gull),2
219,1/30/2011,III,Western Gull,12
220,1/30/2011,III Boulders,Bird,0
221,1/30/2011,III Rocky Outcrop,Brown Pelican,1
222,1/30/2011,III Rocky Outcrop,Cormorant,10
223,1/30/2011,III Rocky Outcrop,Tern,43
224,1/30/2011,III Rocky Outcrop,Unidentified Gull,139
225,2/1/2011,I,People,30
226,2/1/2011,I,Snowy Egret,2
227,2/1/2011,I,Spotted Sandpiper,2
228,2/1/2011,I,Western Gull,1
229,2/1/2011,II,People,11
230,2/1/2011,II,Ring-Billed Gull,1
231,2/1/2011,II,Snowy Egret,11
232,2/1/2011,III,Great Blue Heron,2
233,2/1/2011,III,Great Egret,2
234,2/1/2011,III,Juvenile Gull,2
235,2/1/2011,III,People,0
236,2/1/2011,III,Savannah Sparrow,1
237,2/1/2011,III,Snowy Egret,1
238,2/1/2011,III,Song sparrow,1
239,2/1/2011,III,Spotted Sandpiper,2
240,2/1/2011,III,Western Gull,5
241,2/1/2011,III Boulders,Bird,0
242,2/1/2011,III Rocky Outcrop,Brown Pelican,6
243,2/1/2011,III Rocky Outcrop,Cormorant,10
244,2/1/2011,III Rocky Outcrop,Snowy Egret,1
245,2/1/2011,III Rocky Outcrop,Tern,15
246,2/1/2011,III Rocky Outcrop,Unidentified Gull,53
247,2/3/2011,I,Dogs On Leash,2
248,2/3/2011,I,People,22
249,2/3/2011,I,Snowy Egret,6
250,2/3/2011,I,Spotted Sandpiper,1
251,2/3/2011,I,Western Gull,2
252,2/3/2011,II,Great Blue Heron,2
253,2/3/2011,II,People,1
254,2/3/2011,II,Snowy Egret,2
255,2/3/2011,II,Western Gull,6
256,2/3/2011,III,Great Egret,1
257,2/3/2011,III,Juvenile Gull,1
258,2/3/2011,III,People,0
259,2/3/2011,III,Spotted Sandpiper,2
260,2/3/2011,III,Western Gull,4
261,2/3/2011,III Boulders,Bird,0
262,2/3/2011,III Rocky Outcrop,Brown Pelican,7
263,2/3/2011,III Rocky Outcrop,Cormorant,2
264,2/3/2011,III Rocky Outcrop,Great Blue Heron,1
265,2/3/2011,III Rocky Outcrop,Snowy Egret,1
266,2/3/2011,III Rocky Outcrop,Tern,4
267,2/3/2011,III Rocky Outcrop,Unidentified Gull,140
268,2/4/2011,I,Black Phoebe,1
269,2/4/2011,I,Dogs On Leash,1
270,2/4/2011,I,People,45
271,2/4/2011,II,Black Phoebe,1
272,2/4/2011,II,Black Turnstone,1
273,2/4/2011,II,People,7
274,2/4/2011,II,Say's Phoebe,1
275,2/4/2011,II,Spotted Sandpiper,3
276,2/4/2011,II,Western Gull,1
277,2/4/2011,III,Great Blue Heron,1
278,2/4/2011,III,Great Egret,2
279,2/4/2011,III,People,0
280,2/4/2011,III,Wandering Tattler,1
281,2/4/2011,III,Western Gull,2
282,2/4/2011,III Boulders,Bird,0
283,2/4/2011,III Rocky Outcrop,Brown Pelican,48
284,2/4/2011,III Rocky Outcrop,Cormorant,1
285,2/4/2011,III Rocky Outcrop,Snowy Egret,1
286,2/4/2011,III Rocky Outcrop,Tern,10
287,2/4/2011,III Rocky Outcrop,Unidentified Gull,110
288,2/14/2011,I,People,26
289,2/14/2011,I,Spotted Sandpiper,2
290,2/14/2011,I,Western Gull,1
291,2/14/2011,II,Black Phoebe,1
292,2/14/2011,II,People,0
293,2/14/2011,II,Wandering Tattler,1
294,2/14/2011,II,Western Gull,1
295,2/14/2011,III,Juvenile Gull,1
296,2/14/2011,III,People,0
297,2/14/2011,III,Song sparrow,1
298,2/14/2011,III,Western Gull,4
299,2/14/2011,III Boulders,Bird,0
300,2/14/2011,III Boulders,People,0
301,2/14/2011,III Rocky Outcrop,Brown Pelican,48
302,2/14/2011,III Rocky Outcrop,Cormorant,5
303,2/14/2011,III Rocky Outcrop,Snowy Egret,2
304,2/14/2011,III Rocky Outcrop,Tern,36
305,2/14/2011,III Rocky Outcrop,Unidentified Gull,70
306,2/15/2011,I,People,20
307,2/15/2011,I,Snowy Egret,1
308,2/15/2011,I,Spotted Sandpiper,1
309,2/15/2011,I,Western Gull,1
310,2/15/2011,II,Black Phoebe,1
311,2/15/2011,II,People,0
312,2/15/2011,II,Snowy Egret,1
313,2/15/2011,II,Western Gull,1
314,2/15/2011,III,Great Blue Heron,1
315,2/15/2011,III,Juvenile Gull,1
316,2/15/2011,III,People,0
317,2/15/2011,III,Snowy Egret,2
318,2/15/2011,III,Song sparrow,1
319,2/15/2011,III,Spotted Sandpiper,1
320,2/15/2011,III,Western Gull,3
321,2/15/2011,III Boulders,Bird,0
322,2/15/2011,III Boulders,People,0
323,2/15/2011,III Rocky Outcrop,Brown Pelican,49
324,2/15/2011,III Rocky Outcrop,Cormorant,1
325,2/15/2011,III Rocky Outcrop,Great Egret,1
326,2/15/2011,III Rocky Outcrop,Snowy Egret,2
327,2/15/2011,III Rocky Outcrop,Tern,65
328,2/15/2011,III Rocky Outcrop,Unidentified Gull,95
329,2/16/2011,I,People,31
330,2/16/2011,I,Western Gull,2
331,2/16/2011,II,People,0
332,2/16/2011,II,Red-breasted Merganser,1
333,2/16/2011,II,Snowy Egret,1
334,2/16/2011,II,Western Gull,4
335,2/16/2011,III,Juvenile Gull,6
336,2/16/2011,III,People,0
337,2/16/2011,III,Snowy Egret,3
338,2/16/2011,III,Western Gull,3
339,2/16/2011,III Boulders,Bird,0
340,2/16/2011,III Rocky Outcrop,Brown Pelican,46
341,2/16/2011,III Rocky Outcrop,Cormorant,4
342,2/16/2011,III Rocky Outcrop,Great Blue Heron,1
343,2/16/2011,III Rocky Outcrop,Snowy Egret,1
344,2/16/2011,III Rocky Outcrop,Tern,109
345,2/16/2011,III Rocky Outcrop,Unidentified Gull,80
346,2/17/2011,I,Black Turnstone,1
347,2/17/2011,I,People,56
348,2/17/2011,I,Spotted Sandpiper,1
349,2/17/2011,I,Unidentified Bird (non-gull),1
350,2/17/2011,II,Black Turnstone,2
351,2/17/2011,II,People,22
352,2/17/2011,II,Spotted Sandpiper,1
353,2/17/2011,II,Western Gull,2
354,2/17/2011,III,Great Blue Heron,1
355,2/17/2011,III,People,0
356,2/17/2011,III,Snowy Egret,2
357,2/17/2011,III,Song sparrow,1
358,2/17/2011,III,Spotted Sandpiper,1
359,2/17/2011,III,Western Gull,3
360,2/17/2011,III Boulders,Snowy Egret,1
361,2/17/2011,III Rocky Outcrop,Brown Pelican,12
362,2/17/2011,III Rocky Outcrop,Cormorant,5
363,2/17/2011,III Rocky Outcrop,Tern,75
364,2/17/2011,III Rocky Outcrop,Unidentified Gull,47
365,2/19/2011,I,Black Turnstone,1
366,2/19/2011,I,Dogs On Leash,1
367,2/19/2011,I,People,108
368,2/19/2011,I,Spotted Sandpiper,2
369,2/19/2011,II,Black Turnstone,2
370,2/19/2011,II,People,22
371,2/19/2011,II,Western Gull,2
372,2/19/2011,III,Juvenile Gull,1
373,2/19/2011,III,People,2
374,2/19/2011,III,Snowy Egret,4
375,2/19/2011,III,Sparrow,1
376,2/19/2011,III,Spotted Sandpiper,1
377,2/19/2011,III,Wandering Tattler,1
