"SurveyDate","ZoneClass","DataType","DataCount"
"01/04/2018","I","People",97
"01/04/2018","I","Dogs on Leash",1
"01/04/2018","I","Cormorant",1
"01/04/2018","I","Western Gull",1
"01/04/2018","I","Black Phoebe",1
"01/04/2018","II","People",16
"01/04/2018","II","Western Gull",2
"01/04/2018","II","Black Phoebe",1
"01/04/2018","III","Great Blue Heron",2
"01/04/2018","III","Great Egret",6
"01/04/2018","III","Snowy Egret",3
"01/04/2018","III","Cormorant",3
"01/04/2018","III","Juvenile Gull",18
"01/04/2018","III","Western Gull",7
"01/04/2018","III","California Gull",3
"01/04/2018","III","Heerman's Gull",4
"02/01/2018","I","People",38
"02/01/2018","I","Great Egret",1
"02/01/2018","I","Snowy Egret",2
"02/01/2018","I","Western Gull",3
"02/01/2018","I","Black Phoebe",1
"02/01/2018","II","People",6
"02/01/2018","II","Black Phoebe",3
"02/01/2018","III","Great Blue Heron",1
"02/01/2018","III","Great Egret",2
"02/01/2018","III","Snowy Egret",1
"02/01/2018","III","Western Gull",17
"02/01/2018","III","Black Phoebe",1
"02/01/2018","III","Say's Phoebe",1
"02/01/2018","III Rocky Outcrop","Great Egret",2
"02/01/2018","III Rocky Outcrop","Snowy Egret",1
"02/01/2018","III Rocky Outcrop","Brown Pelican",9
"02/01/2018","III Rocky Outcrop","Cormorant",1
"02/01/2018","III Rocky Outcrop","California Gull",27
"02/01/2018","III Rocky Outcrop","Tern",27
"04/24/2018","I","People",23
"04/24/2018","I","Western Gull",1
"04/24/2018","II","People",4
"04/24/2018","II","Great Egret",1
"04/24/2018","II","Wandering Tattler",1
"04/24/2018","II","Spotted Sandpiper",1
"04/24/2018","III","Great Egret",1
"04/24/2018","III","Spotted Sandpiper",1
"04/24/2018","III","Whimbrel",1
"04/24/2018","III","Western Gull",2
"04/24/2018","III","Tern",8
"04/24/2018","III Boulders","Cormorant",1
"04/24/2018","III Boulders","Western Gull",3
"04/24/2018","III Rocky Outcrop","Brown Pelican",6
"04/24/2018","III Rocky Outcrop","Cormorant",3
"04/24/2018","III Rocky Outcrop","Western Gull",15
"04/24/2018","III Rocky Outcrop","Tern",2
"03/07/2019","I","People",61
"03/07/2019","II","People",1
"03/07/2019","II","Spotted Sandpiper",11
"03/07/2019","III","Great Blue Heron",1
