"SurveyDate","ZoneClass","DataType","DataCount"
"02/01/2018","I","People",38
"02/01/2018","I","Great Egret",1
"02/01/2018","I","Snowy Egret",2
"02/01/2018","I","Western Gull",3
"02/01/2018","I","Black Phoebe",1
"02/01/2018","II","People",6
"02/01/2018","II","Black Phoebe",3
"02/01/2018","III","Great Blue Heron",1
"02/01/2018","III","Great Egret",4
"02/01/2018","III","Snowy Egret",2
"02/01/2018","III","Brown Pelican",9
"02/01/2018","III","Cormorant",1
"02/01/2018","III","Western Gull",17
"02/01/2018","III","California Gull",27
"02/01/2018","III","Tern",27
"04/24/2018","I","People",23
"04/24/2018","I","Western Gull",1
"04/24/2018","II","People",4
"04/24/2018","II","Great Egret",1
"04/24/2018","II","Wandering Tattler",1
"04/24/2018","II","Spotted Sandpiper",1
"04/24/2018","II","Great Egret",1
"04/24/2018","II","Spotted Sandpiper",1
"04/24/2018","II","Whimbrel",1
"04/24/2018","II","Western Gull",2
"04/24/2018","II","Tern",8
"04/24/2018","III","Cormorant",4
"04/24/2018","III","Brown Pelican",6
"04/24/2018","III","Western Gull",18
"04/24/2018","III","Tern",2
"03/07/2019","I","People",61
"03/07/2019","II","People",1
"03/07/2019","II","Spotted Sandpiper",2
"03/07/2019","III","Great Blue Heron",1
"03/07/2019","III","Cormorant",6
"03/07/2019","III","Spotted Sandpiper",1
"03/07/2019","III","Whimbrel",1
"04/16/2019","I","People",94
"04/16/2019","II","People",77
"04/16/2019","III","Snowy Egret",3
"04/16/2019","III","Spotted Sandpiper",1
"04/16/2019","III","Western Gull",5
"04/16/2019","III","Unidentified Gull",20
