SurveyDate,ZoneClass,DataType,DataCount
1/4/2023,I,People,43
1/4/2023,I,Cormorant,1
1/4/2023,I,Spotted Sandpiper,3
1/4/2023,I,Western Gull,1
1/4/2023,I,Black Phoebe,1
1/4/2023,II,Great Egret,1
1/4/2023,II,Spotted Sandpiper,1
1/4/2023,II,Western Gull,2
1/4/2023,II,Black Phoebe,1
1/4/2023,III,Great Egret,2
1/4/2023,III,Snowy Egret,1
1/4/2023,III,Whimbrel,1
1/4/2023,III,Western Gull,1
1/4/2023,III,Black Phoebe,1
1/4/2023,III Boulders,Western Gull,1
1/4/2023,III Rocky Outcrop,Brown Pelican,42
1/4/2023,III Rocky Outcrop,Western Gull,114
1/4/2023,III Rocky Outcrop,Heerman's Gull,6
1/20/2023,I,People,103
1/20/2023,I,California Gull,2
1/20/2023,II,People,79
1/20/2023,II,Great Egret,1
1/20/2023,II,Snowy Egret,1
1/20/2023,II,Unidentified Gull,1
1/20/2023,II,Western Gull,1
1/20/2023,III,People,1
1/20/2023,III,Snowy Egret,1
1/20/2023,III,Whimbrel,1
1/20/2023,III,Unidentified Gull,6
1/20/2023,III Rocky Outcrop,Great Egret,1
1/20/2023,III Rocky Outcrop,Brown Pelican,12
1/20/2023,III Rocky Outcrop,Cormorant,3
1/20/2023,III Rocky Outcrop,Unidentified Gull,50
1/31/2023,I,People,21
1/31/2023,II,People,6
1/31/2023,II,Spotted Sandpiper,2
1/31/2023,II,Unidentified Gull,1
1/31/2023,II,Western Gull,1
1/31/2023,II,Black Phoebe,3
1/31/2023,III,Great Egret,2
1/31/2023,III,Snowy Egret,5
1/31/2023,III,Spotted Sandpiper,1
1/31/2023,III,Western Gull,3
1/31/2023,III,Unidentified Gull,1
1/31/2023,III,Brown Pelican,4
1/31/2023,III Boulders,Unidentified Gull,1
1/31/2023,III Rocky Outcrop,Brown Pelican,24
1/31/2023,III Rocky Outcrop,Unidentified Gull,63
1/31/2023,III Rocky Outcrop,Tern,22
2/1/2023,I,People,38
2/1/2023,II,People,6
2/1/2023,II,Spotted Sandpiper,4
2/1/2023,II,California Gull,1
2/1/2023,II,Black Phoebe,1
2/1/2023,III,Snowy Egret,1
2/1/2023,III,Brown Pelican,5
2/1/2023,III,Spotted Sandpiper,2
2/1/2023,III,Whimbrel,2
2/1/2023,III,Western Gull,2
2/1/2023,III,Tern,3
2/1/2023,III Boulders,Snowy Egret,2
2/1/2023,III Rocky Outcrop,Great Blue Heron,3
2/1/2023,III Rocky Outcrop,Great Egret,2
2/1/2023,III Rocky Outcrop,Brown Pelican,24
2/1/2023,III Rocky Outcrop,Cormorant,1
2/1/2023,III Rocky Outcrop,Unidentified Gull,53
2/1/2023,III Rocky Outcrop,Tern,3
2/2/2023,I,People,63
2/2/2023,I,Snowy Egret,1
2/2/2023,II,People,7
2/2/2023,II,Spotted Sandpiper,3
2/2/2023,II,Western Gull,2
2/2/2023,II,Black Phoebe,2
2/2/2023,III,Great Blue Heron,2
2/2/2023,III,Snowy Egret,1
2/2/2023,III,Spotted Sandpiper,2
2/2/2023,III,Western Gull,2
2/2/2023,III,Black Phoebe,2
2/2/2023,III Boulders,Great Blue Heron,1
2/2/2023,III Boulders,Snowy Egret,1
2/2/2023,III Rocky Outcrop,Brown Pelican,40
2/2/2023,III Rocky Outcrop,Cormorant,3
2/2/2023,III Rocky Outcrop,Unidentified Gull,160
2/2/2023,III Rocky Outcrop,Juvenile Gull,27
2/16/2023,I,People,96
2/16/2023,II,People,31
2/16/2023,II,Snowy Egret,2
2/16/2023,II,Spotted Sandpiper,1
2/16/2023,II,Whimbrel,1
2/16/2023,II,Western Gull,1
2/16/2023,II,Black Phoebe,4
2/16/2023,III,Great Blue Heron,1
2/16/2023,III,Great Egret,1
2/16/2023,III,Snowy Egret,2
2/16/2023,III,Spotted Sandpiper,1
2/16/2023,III,Whimbrel,1
2/16/2023,III,Western Gull,1
2/16/2023,III,California Gull,4
2/16/2023,III Boulders,Snowy Egret,1
2/16/2023,III Rocky Outcrop,Cormorant,10
2/16/2023,III Rocky Outcrop,Unidentified Gull,14
2/16/2023,III Rocky Outcrop,Juvenile Gull,1
2/17/2023,I,People,90
2/17/2023,I,Great Egret,1
2/17/2023,I,Western Gull,1
2/17/2023,I,California Gull,1
2/17/2023,II,People,24
2/17/2023,II,Spotted Sandpiper,1
2/17/2023,II,Western Gull,3
