"SurveyDate","ZoneClass","DataType","DataCount"
"01/06/2012","I","People",64
"01/08/2012","II","Western Gull",2
"01/09/2012","III","Unidentified Gull",1
"01/09/2012","III","Black Phoebe",2
"02/05/2012","III","Juvenile Gull",5
"02/05/2012","III","Western Gull",5
"02/05/2012","III","California Gull",1
"02/21/2012","II","Unidentified Bird (non-gull)",1
"03/03/2012","III Rocky Outcrop","Great Blue Heron",1
"03/16/2012","III Boulders","Western Gull",1
"11/23/2015","III Boulders","People",0
"04/04/2016","III","Western Gull",1
"04/04/2016","III","Cormorant",7
"04/05/2016","III Rocky Outcrop","Western Gull",50
"12/14/2016","I","People",46
"12/29/2016","III Boulders","People",5
"03/01/2018","III Rocky Outcrop","Great Egret",5
"03/01/2018","III Rocky Outcrop","Brown Pelican",3
"03/01/2018","III Rocky Outcrop","Juvenile Gull",1
"03/01/2018","III Rocky Outcrop","Western Gull",195
"03/01/2018","I","Tern",18
"03/01/2018","I","Western Gull",2
"04/26/2018","II","Dogs on Leash",1
