"SurveyDate","ZoneClass","DataType","DataCount"
"01/30/2019","I","Dogs on Leash",0
"01/30/2019","III","Whimbrel",1
"02/19/2019","II","People",10
"04/03/2019","III","Spotted Sandpiper",1
"04/03/2019","III","Juvenile Gull",2
"04/03/2019","III","Western Gull",90
"04/03/2019","III","California Gull",51
"04/03/2019","III","Tern",9
"04/15/2019","II","People",48
"04/15/2019","II","Dogs on Leash",1
"04/15/2019","II","Great Blue Heron",1
"04/15/2019","II","Spotted Sandpiper",0
"04/15/2019","II","Western Gull",2
"04/15/2019","III","Spotted Sandpiper",0
"04/15/2019","III","Western Gull",1
"04/15/2019","III Boulders","Great Egret",1
"04/15/2019","III Boulders","Western Gull",3
"04/15/2019","III Rocky Outcrop","Great Blue Heron",1
"04/15/2019","III Rocky Outcrop","Great Egret",1
"04/15/2019","III Rocky Outcrop","Cormorant",3
"04/15/2019","III Rocky Outcrop","Unidentified Gull",40
"04/15/2019","III Rocky Outcrop","Tern",12
"04/16/2019","II","People",77
"04/16/2019","II","Snowy Egret",3
"04/16/2019","II","Spotted Sandpiper",1
"04/16/2019","II","Western Gull",5
"04/16/2019","III Rocky Outcrop","Unidentified Gull",20
"01/23/2020","III Rocky Outcrop","Unidentified Gull",72
"11/13/2020","III","Western Gull",11
"01/26/2021","III Boulders","Snowy Egret",1
"01/26/2021","III Boulders","Brown Pelican",0
"03/09/2021","I","People",66
"04/08/2021","I","People",80
"11/17/2021","III Rocky Outcrop","Unidentified Gull",36
"12/25/2023","III","People",4
"12/25/2023","III","Snowy Egret",2
"12/25/2023","III Rocky Outcrop","Brown Pelican",69
"01/10/2024","II","Spotted Sandpiper",2
"01/24/2024","III Rocky Outcrop","Tern",6
"01/24/2024","III Rocky Outcrop","Juvenile Gull",0
"03/06/2024","II","Spotted Sandpiper",1
"03/07/2024","III Boulders","Great Blue Heron",1
"03/18/2024","III","California Gull",2
"03/20/2024","III","Great Egret",1
"03/20/2024","III Boulders","Unidentified Gull",1
"05/02/2024","III Rocky Outcrop","Great Blue Heron",5
"05/02/2024","III Rocky Outcrop","Great Egret",1
"05/02/2024","III Rocky Outcrop","Snowy Egret",1
"05/02/2024","III Rocky Outcrop","Brown Pelican",37
"05/02/2024","III Rocky Outcrop","Unidentified Gull",37
"05/02/2024","III Rocky Outcrop","Tern",10
