"SurveyDate","ZoneClass","DataType","DataCount"
"01/22/2012","I","Unidentified Gull",0
"01/22/2012","I","California Gull",1
"01/22/2012","II","Unidentified Gull",0
"01/22/2012","II","California Gull",2
"01/22/2012","III","Unidentified Gull",0
"01/22/2012","III","California Gull",7
"02/19/2012","II","Great Blue Heron",1
"02/19/2012","II","Great Egret",0
"02/19/2012","II","Snowy Egret",1
"02/19/2012","II","Western Gull",2
"02/19/2012","III","People",2
"02/19/2012","III","Great Blue Heron",3
"02/19/2012","III","Great Egret",2
"02/19/2012","III","Snowy Egret",5
"02/19/2012","III","Western Gull",1
"02/08/2017","III","Great Blue Heron",1
"02/08/2017","III","Black Phoebe",1
"02/08/2017","III Boulders","Snowy Egret",0
"11/16/2017","I","Western Gull",1
"11/16/2017","III Rocky Outcrop","Unidentified Gull",0
"11/16/2017","III Rocky Outcrop","Western Gull",50
"12/18/2017","III Rocky Outcrop","Unidentified Gull",0
"12/18/2017","III Rocky Outcrop","Western Gull",35
"01/02/2018","III Rocky Outcrop","Unidentified Gull",0
"01/02/2018","III Rocky Outcrop","Western Gull",81
"01/31/2018","III Rocky Outcrop","Unidentified Gull",0
"01/31/2018","III Rocky Outcrop","Western Gull",70
"02/12/2018","III Rocky Outcrop","Unidentified Gull",0
"02/12/2018","III Rocky Outcrop","Western Gull",34
"11/18/2021","I","Heerman's Gull",0
"11/18/2021","I","California Gull",1
"12/26/2023","III Rocky Outcrop","Juvenile Gull",0
"12/26/2023","III Rocky Outcrop","Tern",1
